Day	Hour	Minute	Q_S	Q_Ld	Q_Lu	Q_H	Q_E	Q_G	d_T_s	T_s
229	13	1	559.987613091	94.7514172148	304.98933386	115.610776434	128.456418261	110.0	-0.00185035639227	71.9966693585
229	14	1	521.130463244	94.7514172148	304.98933386	102.766432867	114.184925408	107.621893217	-0.220204328542	71.6003015671
229	15	1	454.80218502	94.7514172148	304.98933386	80.8414281478	89.8238090531	101.853691663	-0.530499369062	70.6454027028
229	16	1	365.522940967	94.7514172148	304.98933386	51.3299151164	57.0332390183	91.6459732854	-0.935161301904	68.9621123594
229	17	1	259.376964028	94.7514172148	304.98933386	16.2430546156	18.0478384618	76.6079848567	-1.37439088321	66.4882087696
229	18	1	143.597927114	94.7514172148	304.98933386	-22.0280417952	-24.4756019947	56.946352754	-1.79398804364	63.259030291
229	19	1	26.0759802595	94.7514172148	304.98933386	-60.8752621418	-67.6391801575	33.3847882966	-2.14708165546	59.3942833112
229	20	1	0	94.7514172148	304.98933386	-69.4947530369	-77.2163922632	9.66892725799	-2.14920025981	55.5257228436
229	21	1	0	94.7514172148	304.98933386	-69.4947530369	-77.2163922632	-8.40136657271	-1.63500957297	52.5827056122
229	22	1	0	94.7514172148	304.98933386	-69.4947530369	-77.2163922632	-22.0105305097	-1.23136422271	50.3662500113
229	23	1	0	94.7514172148	304.98933386	-69.4947530369	-77.2163922632	-32.25991244	-0.927369401408	48.6969850888
230	0	1	0	94.7514172148	304.98933386	-69.4947530369	-77.2163922632	-39.9789634	-0.698423740762	47.4398223554
230	1	1	0	94.7514172148	304.98933386	-69.4947530369	-77.2163922632	-45.7923625034	-0.525999370822	46.4930234879
230	2	1	0	94.7514172148	304.98933386	-69.4947530369	-77.2163922632	-50.1705703052	-0.396142516294	45.7799669586
230	3	1	0	94.7514172148	304.98933386	-69.4947530369	-77.2163922632	-53.4679017311	-0.298344260318	45.24294729
230	4	1	0	94.7514172148	304.98933386	-69.4947530369	-77.2163922632	-55.9511996979	-0.224690090065	44.8385051279
230	5	1	0	94.7514172148	304.98933386	-69.4947530369	-77.2163922632	-57.8214298919	-0.169219399494	44.5339102088
230	6	1	90.0025617477	94.7514172148	304.98933386	-39.7441452438	-44.1601613819	-56.5345987176	0.12808846302	44.7644694423
230	7	1	207.721486935	94.7514172148	304.98933386	-0.831813138357	-0.924236820396	-47.0073715662	0.877273034091	46.3435609036
230	8	1	319.133888901	94.7514172148	304.98933386	35.9958794275	39.9954215862	-31.2438614386	1.44071846418	48.9368541392
230	9	1	416.64719657	94.7514172148	304.98933386	68.2291860662	75.8102067402	-11.5502993039	1.79451168203	52.1669751668
230	10	1	493.616039173	94.7514172148	304.98933386	93.6714601983	104.07940022	9.80340263206	1.94206149042	55.6626858496
230	11	1	544.795117283	94.7514172148	304.98933386	110.588852887	122.876503208	30.6632553785	1.89403799097	59.0719542333
230	12	1	566.696661305	94.7514172148	304.98933386	117.828471778	130.920524198	49.0814346788	1.66932267561	62.0767350494
230	13	0	558.227688973	94.7514172148	304.98933386	115.029028414	127.810031571	63.2087068288	1.27714619311	64.375598197
